<<<<<<< HEAD
=======
CorrectionAssignMapTitle#0,"""조작 설정 복원"""
CtrlFuncNameOpenRecycle#0,"""리사이클 샵"""
CtrlFuncNameOpenFashion#0,"""패션 편집"""
CtrlFuncNameOpenGatStatus#0,"""개더링 스테이터스"""
CtrlFuncNameOpenGatAchieve#0,"""달성 가능 개더링 실적"""
CtrlFuncNameOpenEquipNote#0,"""콜렉트 파일"""
<<<<<<< HEAD
CtrlFuncNameOpenBuySG#0,"""스타젬을 구입한다"""
=======
CtrlFuncNameOpenBuySG#0,"""스타젬 구입"""
>>>>>>> upstream/KO_Reboot
CtrlFuncNameOpenPokaRecord#0,"""전적 정보"""
CtrlFuncNameOpenPokaRankMatch#0,"""배틀랭크 정보"""
CtrlFuncNameOpenPokaRankMatch_Switch#0,"""배틀랭크 정보(클라우드판)"""
CtrlFuncNameOpenFashionCat#0,"""코디 카탈로그"""
CtrlFuncNameOpenArksLeague#0,"""아크스 리그"""
CtrlFuncNameOpenBasnetContentInfo#0,"""버스트 퀘스트 정보"""
CtrlFuncNameOpenPolluteEdit#0,"""다크 블래스트"""
<<<<<<< HEAD
CtrlFuncNameOpenSgShop#0,"""SG샵"""
CtrlFuncNameOpenArksContract#0,"""아크스 미션"""
CtrlFuncNameOpenWebLink#0,"""Web연동 이벤트"""
CtrlFuncNameMuteVoiceChat#0,"""마이크의 뮤트 전환"""
=======
CtrlFuncNameOpenSgShop#0,"""SG 샵"""
CtrlFuncNameOpenArksContract#0,"""아크스 미션"""
CtrlFuncNameOpenWebLink#0,"""Web 연동 이벤트"""
CtrlFuncNameOpenWorldmap#0,"""월드 맵"""
CtrlFuncNameMuteVoiceChat#0,"""마이크 뮤트 전환"""
>>>>>>> upstream/KO_Reboot
CtrlFuncNameWinShortcut#0,"""윈도우 숏컷"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
CtrlFuncNameWinShortcutF2#0,"""F2"""
CtrlFuncNameWinShortcutF3#0,"""F3"""
CtrlFuncNameWinShortcutF4#0,"""F4"""
CtrlFuncNameWinShortcutF5#0,"""F5"""
CtrlFuncNameWinShortcutF6#0,"""F6"""
CtrlFuncNameWinShortcutF7#0,"""F7"""
CtrlFuncNameWinShortcutF8#0,"""F8"""
CtrlFuncNameWinShortcutF9#0,"""F9"""
CtrlFuncNameWinShortcutF10#0,"""F10"""
CtrlFuncNameWinShortcutN1#0,"""Num1"""
CtrlFuncNameWinShortcutN2#0,"""Num2"""
CtrlFuncNameWinShortcutN3#0,"""Num3"""
CtrlFuncNameWinShortcutN4#0,"""Num4"""
CtrlFuncNameWinShortcutN5#0,"""Num5"""
CtrlFuncNameWinShortcutN6#0,"""Num6"""
CtrlFuncNameWinShortcutN7#0,"""Num7"""
CtrlFuncNameWinShortcutN8#0,"""Num8"""
CtrlFuncNameWinShortcutN9#0,"""Num9"""
CtrlFuncNameWinShortcutN10#0,"""Num0"""
<<<<<<< HEAD
CtrlLobbyActionAssignName#0,"""Alt+$(0)"""
CtrlAssignButtonInput#0,"""변경"""
CtrlAssignButtonWaiting#0,"""대기"""
CtrlAssignHint#0,"""게임내에 보여지는 조작가이드의<br>표시 타입을 설정합니다."""
=======
CtrlLobbyActionAssignName#0,"""Alt<pict 4space>+<pict 4space>$(0)"""
CtrlAssignButtonInput#0,"""변경"""
CtrlAssignButtonWaiting#0,"""대기"""
CtrlAssignHint#0,"""키 또는 버튼을 입력해주세요.<br>([Esc] 키로 취소)"""
>>>>>>> upstream/KO_Reboot
CtrlCtrlAssignTypeT#0,"""1～0"""
CtrlCtrlAssignTypeF#0,"""F1～F10"""
CtrlCtrlAssignTypeN#0,"""Num1～Num0"""
CtrlCtrlAssignTypeCtrlT#0,"""Ctrl+1～0"""
CtrlCtrlAssignTypeCtrlF#0,"""Ctrl+F1～F10"""
CtrlCtrlAssignTypeCtrlN#0,"""Ctrl+Num1～Num0"""
CtrlCtrlSwapMessage#0,"""「$(0)」로 교체했습니다."""
CtrlCtrlCaptionFuncName#0,"""항목명"""
<<<<<<< HEAD
CtrlCtrlCaptionAssign#0,"""현재의 설정"""
CtrlPartition#0,""" / """
CtrlVitaAccessEscape#0,"""<pict Sign_L3> ＋ <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""무기 팔레트 전환 조작이 일부 제한됩니다"""
CtrlVitaSubPalletinfo#0,"""서브 팔레트 전환 조작이 일부 제한됩니다"""
CtrlAnnounceTitle#0,"""조작 가이드 표시 타입 선택"""
CtrlAnnounceMessage#0,"""조작 설명에 표시되는 키 또는 버튼의<br>원하는 표현 방법을 선택해 주십시오."""
=======
CtrlCtrlCaptionAssign#0,"""현재 설정"""
CtrlPartition#0,"""/  """
CtrlVitaAccessEscape#0,""" <pict Sign_L3> ＋ <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""武器パレット切り替えの操作が一部制限されます"""
CtrlVitaSubPalletinfo#0,"""サブパレット切り替えの操作が一部制限されます"""
CtrlAnnounceTitle#0,"""조작 가이드 표시 타입 선택"""
CtrlAnnounceMessage#0,"""조작 설명에 표시되는 키 또는 버튼의<br>원하는 표현 방법을 선택해주십시오."""
>>>>>>> upstream/KO_Reboot
CtrlAnnounceSelSymbol#0,"""기호 타입"""
CtrlAnnounceSelAlphabet#0,"""알파벳 타입"""
CtrlAnnounceSelNumber#0,"""숫자 타입"""
CtrlAnnounceSelKeyboard#0,"""키보드 타입"""
<<<<<<< HEAD
CtrlAnnounceExample#0,"""표시 방법 : """
CtrlAnnounceExampleKey#0,"""<pict Key_ENTER> [Esc] [↑] <pict Key_SPACE>"""
CtrlAnnounceExampleAlpha#0,"""<pict Alpha_A><pict Alpha_B><pict Alpha_RB><pict Alpha_UP>"""
CtrlAnnounceExampleSign#0,"""<pict Sign_CIRCLE><pict Sign_CROSS><pict Sign_R1><pict Sign_UP>"""
CtrlAnnounceExampleNumber#0,"""<pict Number_1><pict Number_2><pict Number_5><pict Number_UP>"""
CtrlAnnounceHint#0,"""미정"""
CtrlPadBehaviorTitle#0,"""게임패드 초기 설정"""
CtrlPadBehaviorSetting#0,"""이 게임패드의 수동 설정을 실시합니다"""
CtrlPadBehaviorInitialize#0,"""이 게임패드의 자동 설정을 실시합니다"""
CtrlPadBehaviorStickTitle#0,"""아날로그 스틱 동작 설정"""
CtrlPadBehaviorStickSubTitleLU#0,"""1.<%LStick>의 「위쪽」범위 인식 테스트"""
CtrlPadBehaviorStickMessageLU#0,"""「<%LStick>」의 인식 테스트를 시작합니다.<br><%LStick>을 <c ff007f>위<c>로 눕히면서 $(0)를 눌러주십시오.<br><yellow>※반응하지 않는 경우에는 컨트롤러를 확인해서<br><c ff007f>「ANALOG」<c><yellow>나 <c ff007f>「MODE」<c><yellow>등으로 표기된 버튼을<br>누르시고 아날로그 모드로 전환해 주십시오.<c>"""
CtrlPadBehaviorStickSubTitleLL#0,"""2.<%LStick>의 「왼쪽」범위 인식 테스트"""
CtrlPadBehaviorStickMessageLL#0,"""<%LStick>을 <green>「좌」<c>로 눕히면서 $(0)를 눌러주십시오."""
CtrlPadBehaviorStickSubTitleRU#0,"""3.<%RStick>의 「위쪽」범위 인식 테스트"""
CtrlPadBehaviorStickMessageRU#0,"""<%LStick>의 테스트가 종료되었습니다.<br><br>다음은 「<%RStick>」의 인식 테스트를 시작합니다.<br><%RStick>을 <c ff007f>위<c>로 눕히면서 $(0)를 눌러주십시오."""
CtrlPadBehaviorStickSubTitleRL#0,"""4.<%RStick>의 「왼쪽」범위 인식 테스트"""
CtrlPadBehaviorStickMessageRL#0,"""<%RStick>을 <green>좌<c>로 눕히면서 $(0)를 눌러주십시오."""
CtrlPadBehaviorTriggerTitle#0,"""트리거 동작 설정"""
CtrlPadBehaviorTriggerMessageL#0,"""「후면 왼쪽 버튼」이 아날로그 (트리거)인지 판정합니다.<br>아래 그림에서 빛나고 있는 버튼을 눌러주십시오.<br><br><yellow>※눌러도 아무 반응이 없으면 아날로그식이 아니므로 <br><c>$(0)<yellow>를 눌러서 다음의 화면에서 버튼을 설정해 주십시오.<c>"""
CtrlPadBehaviorTriggerMessageR#0,"""「후면 오른쪽 버튼」이 아날로그 (트리거)인지 판정합니다.<br>아래 그림에서 빛나고 있는 버튼을 눌러주십시오.<br><br><yellow>※눌러도 아무 반응이 없으면 아날로그식이 아니므로 <br><c>$(0)<yellow>>를 눌러서 다음의 화면에서 버튼을 설정해 주십시오.<c>"""
CtrlPadBehaviorConfirmInitTitle#0,"""설정을 초기화"""
CtrlPadBehaviorConfirmApplyTitle#0,"""설정을 반영"""
CtrlPadBehaviorConfirmInitMessage#0,"""설정을 초기화합니다."""
CtrlPadBehaviorConfirmApplyMessage#0,"""설정을 반영합니다."""
CtrlPadBehaviorHelpSetting#0,"""게임패드의 스틱, 트리거의 인식, <br>각 버튼의 할당 설정을 순서대로 진행합니다."""
CtrlPadBehaviorHelpInitialize#0,"""게임패드마다 준비된 권장 설정으로<br>자동으로 변경합니다."""
CtrlPadBehaviorHelpInitializeDisable#0,"""이 패드는 자동 설정을 지원하지 않습니다."""
CtrlPadBehaviorHelpTrigger#0,"""트리거의 동작을 설정합니다."""
CtrlPadBehaviorButtonDefTitle#0,"""버튼 표시 설정"""
CtrlPadBehaviorButtonDefMessage2#0,"""마지막은 게임 내에서 표시되는 버튼의 마크가<br>이용 중인 게임 패드의 어느 버튼인지 설정합니다.<br><br>목록의 위쪽부터 순서대로 「변경」을 누르고<br><c ff007f>「버튼 표시」<c>에 맞는 게임 패드의 버튼을 눌러주십시오."""
CtrlPadBehaviorButtonDefCaptionDef#0,"""<c ff007f>버튼 표시<c>"""
CtrlPadBehaviorButtonDefCaptionAssign#0,"""실제 버튼의 할당"""
CtrlPadBehaviorButtonDefApply#0,"""반영하고 돌아간다"""
CtrlPadBehaviorButtonDefDisapply#0,"""취소하고 돌아간다"""
CtrlPadBehaviorButtonDefMessage#0,"""$(0)로 사용할 버튼을 입력해 주십시오."""
CtrlPadBehaviorButtonDefDisable#0,"""<gray>설정 필요하지 않음(아날로그)<c>"""
CtrlPadCtrlTitle#0,"""게임패드 조작 설정"""
CtrlPadInitToast#0,"""게임패드를 자동 설정하였습니다. 게임 패드를 초기 설정으로 수동 설정도 가능합니다."""
RadioButtonOnepush#0,"""원 푸시 조작"""
RadioButtonHold#0,"""홀드 조작"""
RadioButtonNormal#0,"""표준"""
RadioButtonReverse#0,"""반전"""
RadioButtonRadarMapDirectionChara#0,"""회전하지 않음"""
RadioButtonRadarMapDirectionCamera#0,"""회전한다"""
RadioButtonMoviePlayOn#0,"""대형 모니터의 동영상을 재생한다"""
RadioButtonMoviePlayOff#0,"""대형 모니터의 동영상을 재생하지 않는다"""
RadioButtonShowDialog#0,"""선택 윈도우를 표시"""
RadioButtonNotice#0,"""알림만"""
RadioButtonEnable#0,"""사용한다"""
RadioButtonDisable#0,"""사용하지 않는다"""
RadioButtonShow#0,"""표시한다"""
RadioButtonHide#0,"""표시하지 않는다"""
RadioButtonShootDisplayAll#0,"""윈도우 표시"""
RadioButtonShootDisplayNoUiChat#0,"""윈도우 표시 없음 (채팅은 표시)"""
RadioButtonShootDisplayNoUiAll#0,"""윈도우 표시 없음"""
RadioButtonEnableQuote#0,"""인용한다"""
RadioButtonDisableQuote#0,"""인용하지 않는다"""
RadioButtonScreenShotTypeBmp#0,"""BMP"""
RadioButtonScreenShotTypePng#0,"""PNG"""
RadioButtonScreenShotTypeJpeg#0,"""JPEG"""
RadioButtonAllow#0,"""보낸다"""
RadioButtonDisallow#0,"""보내지 않는다"""
RadioButtonCtrlNormal#0,"""노멀"""
RadioButtonCtrlCustom#0,"""커스텀 (<pict Sign_TRIANGLE>커스텀 설정 변경)"""
RadioButtonCtrlType1#0,"""타입1"""
RadioButtonCtrlType2#0,"""타입2"""
RadioButtonCtrlType3#0,"""타입3"""
RadioButtonKeyMoveEscapeLong#0,"""캐릭터 이동키 2회 입력 (간격 길게)"""
RadioButtonKeyMoveEscapeMiddle#0,"""캐릭터 이동키 2회 입력 (간격 보통)"""
RadioButtonKeyMoveEscapeShort#0,"""캐릭터 이동키 2회 입력 (간격 짧게)"""
RadioButtonKeyMoveEscapeUnuseKey#0,"""회피 액션키만 (2회 누를 시 무효)"""
RadioButtonSave#0,"""저장한다"""
RadioButtonNotSave#0,"""저장하지 않는다"""
RadioButtonAccessHold#0,"""엑세스로 홀드"""
RadioButtonNotEvent#0,"""이벤트를 주목하지 않는다"""
RadioButtonNameWhite#0,"""하얀색"""
RadioButtonNameBlue#0,"""파란색"""
RadioButtonPopUpMessageOne#0,"""최신 1건만 표시한다"""
RadioButtonPopUpMessageThree#0,"""순서대로 최대 3건까지 표시한다"""
RadioButtonRecommendedNotice#0,"""추천 오더를 표시한다"""
RadioButtonRecommendedNotNotice#0,"""추천 오더를 표시하지 않는다"""
RadioButtonAttackPropertyOff#0,"""데미지 공격 속성 색상을 표시하지 않는다"""
RadioButtonAttackPropertyOn#0,"""데미지 공격 속성 색상을 표시한다"""
RadioButtonPartyNameChara#0,"""퀘스트를 수주한 캐릭터의 이름으로 한다"""
RadioButtonPartyNameQuest#0,"""난이도의 약칭과 퀘스트 이름으로 한다"""
RadioButtonBeginnerBlockSelect#0,"""비기너 블록을 우선시한다"""
RadioButtonBeginnerAutoSelect#0,"""자동 선택"""
RadioButtonSubActionPalletNameOn#0,"""항상 표시"""
RadioButtonSubActionPalletNameChangeOnly#0,"""전환했을 때 표시"""
RadioButtonSubActionPalletNameOff#0,"""표시하지 않음"""
RadioButtonBattleImpossibleIconOn#0,"""타인의 전투불능 아이콘을 표시한다"""
RadioButtonBattleImpossibleIconOff#0,"""타인의 전투불능 아이콘을 표시하지 않는다"""
RadioButtonMyBattleImpossibleIconOn#0,"""자신의 전투불능을 아이콘으로 표시해 전달한다"""
RadioButtonMyBattleImpossibleIconOff#0,"""자신의 전투불능을 아이콘으로 표시해 전달하지 않는다"""
RadioButtonGroupchatInvitation1#0,"""초대를 받는다"""
RadioButtonGroupchatInvitation2#0,"""초대를 받지 않는다"""
RadioButtonAllPB#0,"""모든 포톤 블래스트를 표시한다"""
RadioButtonMyPB#0,"""자신의 포톤 블래스트만 표시한다"""
RadioButtonRareDrop7Over#0,"""레어리티 7이상의 아이템을 표시한다"""
RadioButtonRareDrop10Over#0,"""레어리티 10이상의 아이템을 표시한다"""
RadioButtonRareDrop13Over#0,"""레어리티 13이상의 아이템을 표시한다"""
RadioButtonRareautoget13#0,"""레어리티 13이상의 아이템을 즉시 획득한다"""
RadioButtonRareautogetoff#0,"""사용하지 않는다"""
RadioButtonCameraOperate#0,"""카메라 조작을 우선한다"""
RadioButtonCursorOperate#0,"""커서 조작을 우선한다"""
RadioButtonWarehouseCursorAll#0,"""공용 창고"""
RadioButtonWarehouseCursorBase#0,"""기본 창고"""
RadioButtonWarehouseCursorCharacter#0,"""캐릭터 창고"""
RadioButtonWarehouseCursorPremium#0,"""프리미엄 창고"""
RadioButtonWarehouseCursorOTP#0,"""OTP 창고"""
RadioButtonWarehouseCursorPSO2es#0,"""PSO2es 창고"""
RadioButtonPolluteVoiceOn#0,"""재생한다"""
RadioButtonPolluteVoiceOff#0,"""재생하지 않는다"""
RadioButtonMltPtMatching#0,"""「다수 블록으로 검색해 수주」로 한다"""
RadioButtonCurrentBlock#0,"""「현재의 블록으로 수주」로 한다"""
RadioButtonPopMenuItem#0,"""카테고리 형식으로 표시한다"""
RadioButtonPopMenuAll#0,"""리스트 형식으로 표시한다"""
RadioButtonComeBackOn#0,"""표시한다"""
RadioButtonComeBackOff#0,"""표시하지 않는다"""
RadioButtonAType#0,"""매뉴얼 타입"""
RadioButtonBType#0,"""오토 타입"""
RadioButtonEtrialON#0,"""전체 맵으로 전환한다"""
RadioButtonEtrialOFF#0,"""전환하지 않는다"""
RadioButtonButtonResetOn#0,"""표시한다"""
RadioButtonButtonResetOff#0,"""표시하지 않는다"""
Number0#0,"""0"""
Number50#0,"""50"""
Number100#0,"""100"""
VITA_CustomWindow#0,"""<pict Sign_TRIANGLE>커스텀 설정 변경"""
VITA_CustomTitle#0,"""커스텀 설정"""
VITA_PushButton#0,"""버튼 입력"""
VITA_CustomToast1#0,"""커스텀 설정이 변경되었습니다. 조작 타입을「커스텀」으로 변경하면 적용됩니다. """
VITA_CustomToast2#0,"""중요 조작이 설정되지 않았습니다."""
VITA_AutoRun#0,"""오토런/서브 팔레트 오른쪽"""
VITA_ChangeView#0,"""시점전환/서브 팔레트 왼쪽"""
VITA_CustomInfo#0,"""커스텀 설정은 버튼 이외에도br>후면 터치패드 좌측 상단<pict Sign_BACK_L>과 우측 상단<pict Sign_BACK_R>도 설정 가능합니다.<br><br>변경하고자 하는 항목을 선택한 후 버튼 또는<br>후면 터치패드를 눌러 설정을 변경해주세요"""
RideroidNormalCtrlTextRotateX#0,"""라이드로이드 카메라 좌우 회전"""
RideroidNormalCtrlTextRotateY#0,"""라이드로이드 카메라 상하 회전"""
RideroidNormalCtrlTextMovementX#0,"""라이드로이드 좌우 선회 방향"""
RideroidNormalCtrlTextMovementY#0,"""라이드로이드 상하 이동 방향"""
RideroidNormalCtrlTextRotateX_v#0,"""라이드로이드 카메라 좌우 회전"""
RideroidNormalCtrlTextRotateY_v#0,"""라이드로이드 카메라 상하 회전"""
RideroidNormalCtrlTextMovementX_v#0,"""라이드로이드 좌우 선회 방향"""
RideroidNormalCtrlTextMovementY_v#0,"""라이드로이드 상하 이동 방향"""
RideroidNormalCtrlHintRotateX#0,"""라이드로이드 카메라의<br>좌우 회전 방향을 설정합니다."""
RideroidNormalCtrlHintRotateY#0,"""라이드로이드 카메라의<br>상하 회전 방향을 설정합니다."""
RideroidNormalCtrlHintMovementX#0,"""라이드로이드 조작의<br>좌우 선회 방향을 설정합니다."""
RideroidNormalCtrlHintMovementY#0,"""라이드로이드 조작의<br>상하 이동 방향을 설정합니다."""
RideroidNormalCtrlHintRotateX_v#0,"""라이드로이드 카메라의<br>좌우 회전 방향을 설정합니다."""
RideroidNormalCtrlHintRotateY_v#0,"""라이드로이드 카메라의<br>상하 회전 방향을 설정합니다."""
RideroidNormalCtrlHintMovementX_v#0,"""라이드로이드 조작의<br>좌우 선회 방향을 설정합니다."""
RideroidNormalCtrlHintMovementY_v#0,"""라이드로이드 조작의<br>상하 이동 방향을 설정합니다."""
RideroidShoulderCtrlTextRotateY#0,"""라이드로이드 조작의<br>상하 이동 방향을 설정합니다."""
RideroidShoulderCtrlTextRotateX#0,"""라이드로이드 좌우 선회 방향"""
RideroidShoulderCtrlTextMovementX#0,"""라이드로이드 좌우 이동 방향"""
RideroidShoulderCtrlTextMovementY#0,"""라이드로이드 상하이동 방향"""
RideroidShoulderCtrlTextRotateY_v#0,"""라이드로이드 카메라 상하 회전"""
RideroidShoulderCtrlTextRotateX_v#0,"""라이드로이드 좌우 선회 방향"""
RideroidShoulderCtrlTextMovementX_v#0,"""라이드로이드 좌우 이동 방향"""
RideroidShoulderCtrlTextMovementY_v#0,"""라이드로이드 상하 이동 방향"""
RideroidShoulderCtrlHintRotateY#0,"""라이드로이드 카메라의<br>상하 회전 방향을 설정합니다."""
RideroidShoulderCtrlHintRotateX#0,"""라이드로이드 조작의<br>좌우 선회 방향을 설정합니다."""
RideroidShoulderCtrlHintMovementX#0,"""라이드로이드 조작의<br>좌우 이동 방향을 설정합니다."""
RideroidShoulderCtrlHintMovementY#0,"""라이드로이드 조작의<br>상하 이동 방향을 설정합니다."""
RideroidShoulderCtrlHintRotateY_v#0,"""라이드로이드 카메라의<br>상하 회전 방향을 설정합니다."""
RideroidShoulderCtrlHintRotateX_v#0,"""라이드로이드 조작의<br>좌우 선회 방향을 설정합니다."""
RideroidShoulderCtrlHintMovementX_v#0,"""라이드로이드 조작의<br>좌우 이동 방향을 설정합니다."""
RideroidShoulderCtrlHintMovementY_v#0,"""라이드로이드 조작의<br>상하 이동 방향을 설정합니다."""
RideroidOperationSettings#0,"""조작 설정"""
RideroidOperationSettingsType#0,"""라이드로이드의 조작 설정을 선택합니다.。"""
RideroidOperationSettingsText#0,"""라이드로이드의 조작 설정을 선택합니다.<br> <br>매뉴얼 타입: 수동으로 전진합니다.<br>오토 타입: 자동으로 전진합니다.<br><br>※위쪽의「통상 시점」혹은「TPS 시점」을 선택해서 <br>\u3000라이드로이드와 카메라의 조작을 설정할 수 있습니다.<br>※라이드로이드의 조작은「<yellow>TPS 시점<c>」이 기본입니다."""
DrawFilterText#0,"""화면 필터<pict Arcscash>"""
DrawFilterUsually#0,"""보통"""
DrawFilterGrayScale#0,"""모노크롬"""
DrawFilterSepia#0,"""세피아"""
DrawFilterFading#0,"""빈티지"""
DrawFilter8bit#0,"""8비트"""
DrawFilter#0,"""화면에 적용할 필터를 선택해 주십시오.。"""
DrawFilterMessageText#0,"""「프리미엄 세트」의 유효기간 동안 이용 가능합니다.<br><yellow>게임 런처의 설정에서 「품질/셰이더 품질」항목이<br>「고품질」일 때만 적용 가능합니다.<c><br>아래의 화면 필터 중 하나를 선택해 주십시오."""
xx_DrawFilterMessageText#0,"""「프리미엄 세트」의 유효기간 동안만 이용하실 수 있습니다.<br>아래의 화면 필터 중 하나를 선택해 주십시오."""
cc_DrawFilterMessageText#0,"""「프리미엄 세트」의 유효기간 동안만 이용하실 수 있습니다.<br>아래의 화면 필터 중 하나를 선택해 주십시오."""
DrawFilterMessagePremiumOn#0,"""<yellow>프리미엄 활성화됨<c>"""
DrawFilterMessagePremiumOff#0,"""<red>프리미엄 유효기간 만료<c>"""
TextPolluteOthers#0,"""다른 플레이어의 다크 블래스트 표시타입 설정"""
HintPolluteOthersOff#0,"""다크 블래스트의 외형을<br>다른 플레이어의 설정에 따라 표시합니다<br>「품질/셰이더 품질」이<br>「간단」이외일 때 적용됩니다."""
xx_HintPolluteOthersOff#0,"""ダークブラストの見た目を<br>他のプレイヤーの設定に従って表示します。"""
cc_HintPolluteOthersOff#0,"""ダークブラストの見た目を<br>他のプレイヤーの設定に従って表示します。"""
HintPolluteOthersOnHito#0,"""ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br>「描画/シェーダー品質」が<br>「簡易」以外の時に適用されます。"""
xx_HintPolluteOthersOnHito#0,"""ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。"""
cc_HintPolluteOthersOnHito#0,"""ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。"""
HintPolluteOthersOnPlayer#0,"""ダークブラストの見た目をオーラ表示にします。<br>透明度は100で固定された状態になります。<br>「描画/シェーダー品質」が<br>「簡易」以外の時に適用されます。"""
xx_HintPolluteOthersOnPlayer#0,"""ダークブラストの見た目をオーラ表示にします。<br>透明度は100で固定された状態になります。"""
cc_HintPolluteOthersOnPlayer#0,"""ダークブラストの見た目をオーラ表示にします。<br>透明度は100で固定された状態になります。"""
RadioButtonPolluteOthersOff#0,"""他のプレイヤーの設定で表示する"""
RadioButtonPolluteOthersOnHito#0,"""常にオーラ表示にする"""
RadioButtonPolluteOthersOnPlayer#0,"""常にオーラ表示かつ、キャラクターのみ表示する"""
DetailPolluteOthers#0,"""-"""
AuraSlider_Text_0#0,"""透明度"""
AuraSlider_Text_1#0,"""-"""
MenuButtonDamagesize#0,"""テキスト演出設定"""
Damegesize_config_title#0,"""クエスト中のダメージやEXPの表示サイズ設定"""
Damegesize_app#0,"""与ダメージ表示"""
Damegesize_taken#0,"""回復／被ダメージ表示"""
Damegesize_exp#0,"""EXPなどの表示"""
Damegesize_for_player#0,"""\u3000\u3000\u3000プレイヤーキャラクター"""
Damegesize_for_party#0,"""\u3000\u3000\u3000パーティーメンバー"""
Damegesize_for_other#0,"""\u3000\u3000\u3000その他のキャラクター"""
Damegesize_for_exp#0,"""\u3000\u3000\u3000EXP／その他"""
Damegesize_for_enemy#0,"""\u3000\u3000\u3000特殊なダメージ（敵同士など）"""
Damegesize_vita_app_player#0,"""プレイヤーの与ダメージ"""
Damegesize_vita_app_party#0,"""パーティーメンバーの与ダメージ"""
Damegesize_vita_app_other#0,"""その他のキャラの与ダメージ"""
Damegesize_vita_taken_player#0,"""プレイヤーの回復／被ダメージ"""
Damegesize_vita_taken_party#0,"""パーティーメンバーの回復／被ダメージ"""
Damegesize_vita_taken_other#0,"""その他のキャラの回復／被ダメージ"""
Damegesize_vita_exp#0,"""EXPなどの表示"""
Damegesize_vita_enemy#0,"""特殊なダメージ（敵同士など）"""
Damegesize_select_big#0,"""大（標準）"""
Damegesize_select_middle#0,"""中"""
Damegesize_select_small#0,"""小"""
Damegesize_select_zero#0,"""表示無し"""
NoticeHintChannel#0,"""グループ招待された時、<br>参加選択ウィンドウを表示するかを設定します。"""
CommuTextCharaNameVita#0,"""グループ、チーム、ウィスパーの各チャットの名前表示"""
CtrlFuncNameOpenTotalScoreBoost#0,"""퀘스트 연동 부스트"""
QuestCounterDisplay#0,"""クエストカウンターの表示形式"""
BasicHintQuestCounter#0,"""クエストカウンターの表示形式を設定します。"""
RadioButtonQuestCounter1#0,"""カテゴリー形式で表示する"""
RadioButtonQuestCounter2#0,"""一覧形式で表示する"""
CtrlFuncNameStartChatGroup#0,"""그룹 채팅 시작"""
Title_DetailInfo#0,"""상세 정보"""
PartyCreatDisplay#0,"""パーティー情報入力メニューの表示形式"""
RadioButtonPartyCreat1#0,"""詳細形式で表示する"""
RadioButtonPartyCreat2#0,"""通常形式で表示する"""
BasicHintPartyCreat#0,"""パーティー情報入力メニューの表示形式を設定します。"""
BasicTextAutoGetWeapon#0,"""武器の即時取得設定"""
BasicTextAutoGetUnit#0,"""ユニットの即時取得設定"""
BasicTextAutoGetMaterial#0,"""素材アイテムの即時取得設定"""
BasicTextAutoGetOther#0,"""その他のアイテムの即時取得設定"""
RadioButtonAutoGetUnuse#0,"""使用しない"""
RadioButtonAutoGetWeapon13#0,"""レアリティ13以上の武器を即時取得する"""
RadioButtonAutoGetUnit12#0,"""レアリティ12以上のユニットを即時取得する"""
RadioButtonAutoGetMaterial#0,"""すべての素材アイテムを即時取得する"""
RadioButtonAutoGetOther#0,"""レアリティ13以上のアイテムを即時取得する"""
BasicHintAutoGetWeapon#0,"""レアリティの高い武器がドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
BasicHintAutoGetUnit#0,"""レアリティの高いユニットがドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
BasicHintAutoGetMaterial#0,"""『オーダーアイテム／素材』カテゴリの<br>アイテムがドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。<br><br>※素材倉庫が有効な場合は<br>\u3000\u3000自動的に素材倉庫へ送られます。"""
BasicHintAutoGetOther#0,"""武器、ユニット、素材以外のアイテムを対象として<br>レアリティの高いアイテムがドロップする際に<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
BasicTextFloatTextItem#0,"""ドロップアイテムの取得表示"""
FloatTextItem#0,"""\u3000\u3000\u3000アイテムの取得"""
FloatTextItemVita#0,"""ドロップアイテムの取得表示"""
SelectFloatTextOn#0,"""表示する"""
